('YP_003982012', 138)
('YP_003982666', ('YP_003980461', '0.999999996078422'))
('YP_005625052', ('YP_005625779', '0.955873897660699'))
('YP_005624509', ('YP_005624510', '0.983010440068977'))
('YP_005624502', ('YP_005622108', '0.986270029588686'))
('YP_004955063', ('YP_004955062', '0.9999646834764'))
('YP_004955066', ('YP_004954794', '0.931589237323701'))
('YP_004956047', ('YP_004956046', '0.999999973546206'))
('YP_003977311', ('YP_003978672', '0.931495091967069'))
('YP_003977313', ('YP_003979840', '0.93158964512228'))
('YP_003977314', ('YP_003977602', '0.931297523511784'))
('YP_003977315', ('YP_003981136', '0.999999873410168'))
('YP_005622905', ('YP_005622904', '0.994650506864565'))
('YP_003976775', ('YP_003977497', '0.690400737611128'))
('YP_003976776', ('YP_003976773', '0.980637067524879'))
('YP_003977498', ('YP_003977497', '0.9759292862297'))
('YP_003976575', ('YP_003977773', '0.99999999995729'))
('YP_002729067', ('YP_002728729', '0.666997188585238'))
('YP_003976578', ('YP_003976674', '0.992890331870155'))
('YP_003981644', ('YP_003978918', '0.931241696615014'))
('YP_004954932', ('YP_004955567', '0.944222503175933'))
('YP_005394625', ('YP_005394626', '1'))
('YP_003976794', ('YP_003976793', '0.994655776274125'))
('YP_003976793', ('YP_003981061', '0.945379187173116'))
('YP_003976791', ('YP_003978603', '0.999999999234919'))
('YP_003976790', ('YP_003979348', '0.999999990994594'))
('YP_003977556', ('YP_003978740', '0.931584763750582'))
('YP_003977557', ('YP_003980897', '0.93138066970005'))
('YP_003977555', ('YP_003981234', '0.947626988414055'))
('YP_003981962', ('YP_003977649', '1'))
('YP_003981963', ('YP_003981422', '1'))
('YP_003981960', ('YP_003982585', '0.928814604366353'))
('YP_003977551', ('YP_003980890', '0.931588684046823'))
('YP_004956446', ('YP_004955054', '0.931203371441492'))
('YP_006797091', ('YP_006797092', '1'))
('YP_003981414', ('YP_003981991', '0.931547672565689'))
('YP_003981415', ('YP_003978495', '0.975609863737757'))
('YP_003981411', ('YP_003976425', '0.562869165114159'))
('YP_005625472', ('YP_005625473', '0.99833458024685'))
('YP_004955889', ('YP_004955890', '0.994652059028306'))
('YP_003981419', ('YP_003977757', '0.96697884866018'))
('YP_005622122', ('YP_005623150', '0.919282917181562'))
('YP_004955539', ('YP_004955540', '0.995833310912706'))
('YP_004955242', ('YP_004955054', '0.931203251057471'))
('YP_004955246', ('YP_004955247', '0.970006122838'))
('YP_003978658', ('YP_003978495', '0.93120325105747'))
('YP_004956138', ('YP_004956139', '0.999990214693821'))
('YP_003978656', ('YP_003977311', '0.931497370330833'))
('YP_003978657', ('YP_003978013', '0.931203939566883'))
('YP_004955080', ('YP_004955081', '0.997094125006376'))
('YP_003976958', ('YP_003979688', '0.99999999993024'))
('YP_003977420', ('YP_003980888', '0.999999997296217'))
('YP_003977421', ('YP_003978603', '0.999999999920547'))
('YP_003977425', ('YP_003980891', '0.931266439651162'))
('YP_003976950', ('YP_003976949', '0.99465220339044'))
('YP_003976956', ('YP_003977757', '0.963482683942771'))
('YP_003979122', ('YP_003981323', '0.931395022432058'))
('YP_003979125', ('YP_003981490', '0.91150839036694'))
('YP_003979129', ('YP_003978031', '0.997893575763389'))
('YP_003978531', ('YP_003980941', '0.926592140216663'))
('YP_004954758', ('YP_004955319', '0.931577275620337'))
('YP_004955636', ('YP_004955635', '0.99996734695526'))
('YP_003978537', ('YP_003977873', '0.930817484626267'))
('YP_003978536', ('YP_003978617', '0.858874031626461'))
('YP_004954753', ('YP_004954754', '0.999322957848664'))
('YP_005624988', ('YP_005624120', '0.931463887994724'))
('YP_004954495', ('YP_004954496', '0.999998331282306'))
('YP_005624984', ('YP_005624986', '1'))
('YP_005624985', ('YP_005624984', '1'))
('YP_006797474', ('YP_006798792', '0.931203251881175'))
('YP_003981742', ('YP_003982525', '0.780047952692238'))
('YP_006798637', ('YP_006798638', '0.981953783865927'))
('YP_006798636', ('YP_006798670', '0.931589588740102'))
('YP_004956501', ('YP_004956500', '0.933385984884578'))
('YP_006799728', ('YP_006797806', '0.93158951935791'))
('YP_003978229', ('YP_003976513', '0.927721318660779'))
('YP_003978221', ('YP_003978220', '0.999999999678892'))
('YP_005394881', ('YP_005395086', '0.970373136635857'))
('YP_006797509', ('YP_006797508', '1'))
('YP_006797503', ('YP_006798792', '0.985968461712674'))
('YP_003979616', ('YP_003976229', '0.93120325105747'))
('YP_006798523', ('YP_006800662', '0.931473106821023'))
('YP_006798522', ('YP_006797335', '0.607531761300324'))
('YP_003979300', ('YP_003978741', '0.85249326528503'))
('YP_006800763', ('YP_006800762', '0.989216873814904'))
('YP_006800762', ('YP_006800646', '0.490464202929481'))
('YP_006800767', ('YP_006800769', '0.999985785124419'))
('YP_006800768', ('YP_006800769', '0.999894532956426'))
('YP_005623232', ('YP_005625644', '0.943436911641324'))
('YP_003978316', ('YP_003981553', '0.92953353704414'))
('YP_006800160', ('YP_006798671', '0.931206314889825'))
('YP_006800168', ('YP_006800169', '0.999971789684737'))
('YP_005622446', ('YP_005625302', '0.931401835350837'))
('YP_006799367', ('YP_006799369', '0.784095222016175'))
('YP_006800787', ('YP_006800897', '0.990478492139246'))
('YP_003980328', ('YP_003976884', '1'))
('YP_006799365', ('YP_006800307', '0.995113178331799'))
('YP_002729324', ('YP_002729323', '0.999999875936098'))
('YP_003976138', ('YP_003982585', '0.931386749995245'))
('YP_005624334', ('YP_005624335', '0.994667005804966'))
('YP_005625302', ('YP_005625301', '0.995562981043857'))
('YP_003979278', ('YP_003979279', '0.997109376706474'))
('YP_005623527', ('YP_005625384', '0.999623915861691'))
('YP_003980742', ('YP_003980743', '0.997859183529793'))
('YP_003980745', ('YP_003978509', '0.999999999999631'))
('YP_003978002', ('YP_003976940', '0.691028589036505'))
('YP_003978009', ('YP_003976689', '0.931204157907224'))
('YP_005623528', ('YP_005623529', '0.994651336185441'))
('YP_002729401', ('YP_002728231', '0.467439530303418'))
('YP_004956307', ('YP_004955562', '0.931204048589217'))
('YP_003980921', ('YP_003977700', '0.930707559045538'))
('YP_003980920', ('YP_003980978', '0.578292633250998'))
('YP_003980255', ('YP_003978617', '0.8577305992928'))
('YP_003980922', ('YP_003980855', '0.931209263900896'))
('YP_003980924', ('YP_003978665', '1'))
('YP_003979104', ('YP_003979105', '0.9987420167323'))
('YP_005624426', ('YP_005626124', '0.93120325105747'))
('YP_005393997', ('YP_005393995', '0.931226804276405'))
('YP_005624230', ('YP_005624229', '0.999442027479662'))
('YP_002728183', ('YP_002729429', '0.993986448612753'))
('YP_002728639', ('YP_002729260', '0.931342655380814'))
('YP_006800231', ('YP_006798099', '0.931529674699744'))
('YP_005624605', ('YP_005624604', '0.994406039459699'))
('YP_003982273', ('YP_003978003', '0.92720258494428'))
('YP_002729582', ('YP_002729358', '0.941741536582155'))
('YP_005624609', ('YP_005624608', '0.999868592906525'))
('YP_005624608', ('YP_005624607', '0.999999999998297'))
('YP_003979667', ('YP_003979666', '0.938861840945428'))
('YP_003976140', ('YP_003981061', '0.931587932797116'))
('YP_004955847', ('YP_004954685', '0.531576090880247'))
('YP_003979464', ('YP_003977354', '0.873326193163327'))
('YP_003979465', ('YP_003978495', '0.93120325105747'))
('YP_003982679', ('YP_003976380', '0.931214891719641'))
('YP_003979467', ('YP_003977757', '0.960376889161839'))
('YP_003979461', ('YP_003981156', '0.931540075538966'))
('YP_003979462', ('YP_003980644', '0.93150415040955'))
('YP_002729100', ('YP_002728937', '0.999999898999406'))
('YP_003982671', ('YP_003981423', '0.999997700615561'))
('YP_002729102', ('YP_002729101', '1'))
('YP_003979468', ('YP_003980806', '0.931205395990776'))
('YP_002729104', ('YP_002729448', '0.958257648944631'))
('YP_002729454', ('YP_002728377', '1'))
('YP_005624510', ('YP_005623185', '0.949341627994371'))
('YP_005622591', ('YP_005625419', '0.816358667022514'))
('YP_003982419', ('YP_003982420', '0.994651407051597'))
('YP_003982418', ('YP_003980829', '0.931589756903689'))
('YP_004956057', ('YP_004956058', '0.994675923412175'))
('YP_003977309', ('YP_003981991', '0.931538588339209'))
('YP_003978824', ('YP_003977311', '0.931497370330833'))
('YP_003978823', ('YP_003979688', '0.999813782192281'))
('YP_005394180', ('YP_005394932', '0.999993964839198'))
('YP_005623529', ('YP_005626147', '0.970105465819827'))
('YP_005395120', ('YP_005394727', '0.93120325105747'))
('YP_005395125', ('YP_005395366', '0.92982384675994'))
('YP_005394432', ('YP_005394433', '1'))
('YP_005622462', ('YP_005622461', '0.989165509942082'))
('YP_005394434', ('YP_005394436', '1'))
('YP_006799934', ('YP_006799632', '0.999987025797574'))
('YP_003976098', ('YP_003979403', '0.930062212792157'))
('YP_003978798', ('YP_003978773', '0.931294163109111'))
('YP_005394613', ('YP_005393648', '0.748305051803378'))
('YP_003982304', ('YP_003981630', '0.598273320569766'))
('YP_004955433', ('YP_004956465', '0.870125840022776'))
('YP_006800895', ('YP_006800897', '0.999444113540275'))
('YP_003982099', ('YP_003976981', '0.999999997929089'))
('YP_003982098', ('YP_003982097', '0.999999999999999'))
('YP_003982097', ('YP_003979314', '0.872249954587586'))
('YP_003980886', ('YP_003978191', '0.928001405342994'))
('YP_003981264', ('YP_003976513', '0.928554352846679'))
('YP_003976890', ('YP_003978617', '0.861699337736628'))
('YP_005625230', ('YP_005625231', '0.994667607421722'))
('YP_003976325', ('YP_003976380', '0.93138530271647'))
('YP_003979840', ('YP_003982235', '0.843259473439697'))
('YP_005395056', ('YP_005395055', '0.999999999998843'))
('YP_005622605', ('YP_005622057', '0.998406929180493'))
('YP_003981409', ('YP_003981408', '0.999601191249501'))
('YP_003981408', ('YP_003979688', '0.999999999524808'))
('YP_003979686', ('YP_003976425', '0.56157165455556'))
('YP_003979687', ('YP_003982702', '0.999999999763656'))
('YP_005625488', ('YP_005624939', '0.999989673262335'))
('YP_003980923', ('YP_003977598', '0.93120328285193'))
('YP_005624714', ('YP_005624837', '0.93129539693663'))
('YP_003981998', ('YP_003980137', '0.914391953438952'))
('YP_003981995', ('YP_003978451', '0.999986786233296'))
('YP_003981994', ('YP_003980888', '0.931258681044288'))
('YP_003981993', ('YP_003978601', '0.946569444599425'))
('YP_003981992', ('YP_003981991', '0.988439064959877'))
('YP_003981991', ('YP_003979032', '0.931548464615954'))
('YP_005622781', ('YP_005622782', '0.989701067036784'))
('YP_003977434', ('YP_003980805', '0.93120636027621'))
('YP_003977430', ('YP_003977431', '0.994394228164616'))
('YP_003981578', ('YP_003978647', '0.999999999944879'))
('YP_003976430', ('YP_003976429', '0.995941307883179'))
('YP_003976431', ('YP_003978884', '0.931588959628644'))
('YP_003977940', ('YP_003977419', '0.946280000853826'))
('YP_003977943', ('YP_003981742', '0.771516880917871'))
('YP_006799155', ('YP_006797436', '0.992839998282943'))
('YP_006799154', ('YP_006799153', '0.999999999999485'))
('YP_002729191', ('YP_002728404', '0.986315226763181'))
('YP_006799486', ('YP_006800160', '0.931564587578528'))
('YP_004954745', ('YP_004954744', '0.999999989681668'))
('YP_005622232', ('YP_005622231', '0.999999999897782'))
('YP_004955346', ('YP_004955344', '0.93120325105747'))
('YP_006799551', ('YP_006799550', '0.999999969167115'))
('YP_006799553', ('YP_006799555', '1'))
('YP_003976637', ('YP_003982420', '0.999628041700217'))
('YP_006799556', ('YP_006799550', '0.999999999998115'))
('YP_003977057', ('YP_003976419', '0.998874552954017'))
('YP_005622237', ('YP_005622236', '0.981473091418072'))
('YP_006798606', ('YP_006798604', '0.845476117257206'))
('YP_006798607', ('YP_006798605', '0.958660636727262'))
('YP_005395278', ('YP_005394708', '0.999999999944209'))
('YP_003979060', ('YP_003976599', '0.93157817294724'))
('YP_003979067', ('YP_003978774', '0.931296507344734'))
('YP_003978259', ('YP_003978737', '0.931586307001979'))
('YP_005622238', ('YP_005622144', '0.974904398776092'))
('YP_003976228', ('YP_003978291', '0.931469417946982'))
('YP_003978495', ('YP_003976473', '0.931203251059137'))
('YP_005623426', ('YP_005623052', '0.99318375287267'))
('YP_005394077', ('YP_005395414', '0.747131354763268'))
('YP_005622780', ('YP_005622781', '0.994688432245831'))
('YP_005622153', ('YP_005622154', '0.998038178929681'))
('YP_006798514', ('YP_006798505', '0.999999602679439'))
('YP_006798515', ('YP_006798514', '0.99999991051027'))
('YP_006798513', ('YP_006798520', '0.931445597336331'))
('YP_006799027', ('YP_006798669', '0.93120328677532'))
('YP_006799026', ('YP_006799027', '0.999999999999849'))
('YP_006799022', ('YP_006798380', '0.999335795780718'))
('YP_005624422', ('YP_005622749', '0.923759529950955'))
('YP_003980137', ('YP_003982565', '0.920455366246028'))
('YP_003980135', ('YP_003976513', '0.928253825412069'))
('YP_003980139', ('YP_003980157', '0.93125526021291'))
('YP_006800152', ('YP_006800153', '1'))
('YP_006800153', ('YP_006800151', '0.999915390195863'))
('YP_006800150', ('YP_006798110', '0.93120325105747'))
('YP_006800151', ('YP_006800150', '0.999999925018928'))
('YP_005623730', ('YP_005624354', '0.999997020488998'))
('YP_005623733', ('YP_005624933', '0.925037687827278'))
('YP_005623080', ('YP_005622057', '0.998406929180493'))
('YP_006800159', ('YP_006800160', '0.994651192514655'))
('YP_003979201', ('YP_003981991', '0.931548858446349'))
('YP_003979202', ('YP_003980855', '0.931304448191993'))
('YP_002728531', ('YP_002729450', '0.928796083749711'))
('YP_006797885', ('YP_006800382', '0.931214782598973'))
('YP_003980262', ('YP_003977403', '0.86866939209205'))
('YP_003980263', ('YP_003976513', '0.928274302992071'))
('YP_003980793', ('YP_003980980', '0.999999999999764'))
('YP_002729263', ('YP_002729257', '0.915656218947864'))
('YP_003980796', ('YP_003976959', '0.93120325108307'))
('YP_003980794', ('YP_003976425', '0.561138884275833'))
('YP_002729267', ('YP_002729266', '1'))
('YP_005624458', ('YP_005622164', '0.931297562735836'))
('YP_005625105', ('YP_005622057', '0.998406929180493'))
('YP_005624602', ('YP_005622267', '0.999988405757471'))
('YP_003979511', ('YP_003978274', '0.931502938201893'))
('YP_005624457', ('YP_005624270', '0.931205378441202'))
('YP_003980648', ('YP_003978031', '0.99713362644554'))
('YP_003980649', ('YP_003979906', '0.999999924843841'))
('YP_002728625', ('YP_002728623', '1'))
('YP_002728622', ('YP_002728620', '1'))
('YP_003980644', ('YP_003980154', '0.931505491888351'))
('YP_004956208', ('YP_004956207', '0.994649150193562'))
('YP_005624271', ('YP_005623436', '0.997326148267498'))
('YP_005624672', ('YP_005624671', '0.999999999999997'))
('YP_003982241', ('YP_003981570', '0.822280015737719'))
('YP_003982247', ('YP_003976513', '0.928304900565784'))
('YP_003982244', ('YP_003982245', '0.994651192514655'))
('YP_004956200', ('YP_004956201', '0.994170252399628'))
('YP_002728844', ('YP_002728845', '0.998480580713145'))
('YP_004956204', ('YP_004954873', '0.931586442212477'))
('YP_002728841', ('YP_002728840', '0.994553255578507'))
('YP_004956207', ('YP_004956206', '0.994651192514824'))
('YP_003979672', ('YP_003976513', '0.929200417524887'))
('YP_006799832', ('YP_006798514', '0.999999999997454'))
('YP_005394476', ('YP_005394876', '0.757168510456262'))
('YP_003979472', ('YP_003981991', '0.931546473638039'))
('YP_003980814', ('YP_003979470', '0.7533103813271'))
('YP_005625074', ('YP_005626060', '0.999998327998867'))
('YP_002728991', ('YP_002729071', '0.93120325105747'))
('YP_003982648', ('YP_003977757', '0.963490833077508'))
('YP_002729666', ('YP_002728153', '0.999721851724486'))
('YP_002729667', ('YP_002729607', '0.93120325105747'))
('YP_005624072', ('YP_005624073', '0.996011798030938'))
('YP_002729488', ('YP_002729450', '0.998463014837701'))
('YP_003980813', ('YP_003980891', '0.931271200792747'))
('YP_004955647', ('YP_004955648', '0.996057500317112'))
('YP_002729480', ('YP_002729481', '0.999999999999944'))
('YP_004955640', ('YP_004954497', '0.458201433522336'))
('YP_003977336', ('YP_003981534', '0.987045940959037'))
('YP_004956515', ('YP_004956513', '0.997422852861548'))
('YP_003977335', ('YP_003977336', '0.99694010623638'))
('YP_003977331', ('YP_003980232', '0.926666132780103'))
('YP_003980956', ('YP_003977757', '0.959877960109309'))
('YP_003977338', ('YP_003977339', '0.994632376509222'))
('YP_003977339', ('YP_003979404', '0.997963603512203'))
('YP_005622926', ('YP_005622925', '0.992783777296727'))
('YP_005394428', ('YP_005394429', '1'))
('YP_005622925', ('YP_005624311', '0.999867080477871'))
('YP_003976555', ('YP_003980941', '0.999999429838417'))
('YP_006799907', ('YP_006799906', '0.999147043645995'))
('YP_003976557', ('YP_003980941', '0.999999955890765'))
('YP_003976556', ('YP_003976557', '0.999999999987844'))
('YP_003976550', ('YP_003976549', '0.99830911823626'))
('YP_005625256', ('YP_005623609', '0.931203253441858'))
('YP_005622456', ('YP_005622457', '0.999999893209107'))
('YP_003976086', ('YP_003976085', '0.994651192514655'))
('YP_003976085', ('YP_003982202', '0.931226574377599'))
('YP_003976084', ('YP_003979404', '0.997550905045074'))
('YP_003977516', ('YP_003977515', '1'))
('YP_004956192', ('YP_004956193', '0.994651192514656'))
('YP_004955429', ('YP_004955430', '0.999432410625734'))
('YP_004955428', ('YP_004955427', '1'))
('YP_003977514', ('YP_003977512', '1'))
('YP_005394327', ('YP_005394328', '0.994553255578507'))
('YP_004955425', ('YP_004955427', '0.99961244755268'))
('YP_005394325', ('YP_005394446', '0.999998670603633'))
('YP_003981928', ('YP_003980829', '0.931589618817906'))
('YP_006797678', ('YP_006797679', '0.997970393593023'))
('YP_003976889', ('YP_003979060', '0.931234665578394'))
('YP_003976888', ('YP_003979969', '0.931232054060387'))
('YP_005394320', ('YP_005394548', '0.820191777758766'))
('YP_003976331', ('YP_003981991', '0.931511263121595'))
('YP_003976335', ('YP_003982689', '0.574253568720457'))
('YP_003979854', ('YP_003981997', '0.931264181923936'))
('YP_003976884', ('YP_003976883', '1'))
('YP_002729194', ('YP_002729193', '0.99015393939492'))
('YP_005625493', ('YP_005622264', '0.7572093482787'))
('YP_003982672', ('YP_003981422', '1'))
('YP_003979695', ('YP_003976513', '0.927348141825589'))
('YP_003982422', ('YP_003982585', '0.931215039850187'))
('YP_003982420', ('YP_003979415', '0.999999956625198'))
('YP_005625498', ('YP_005622057', '0.998406929180493'))
('YP_003981215', ('YP_003979384', '0.993668160052704'))
('YP_003977599', ('YP_003977602', '0.99999999982812'))
('YP_003977849', ('YP_003976380', '0.931214485882094'))
('YP_004954592', ('YP_004954590', '1'))
('YP_005624859', ('YP_005622374', '0.931203363875919'))
('YP_003977448', ('YP_003979946', '0.996790893065695'))
('YP_003977119', ('YP_003977045', '0.931214310034991'))
('YP_003977440', ('YP_003977441', '0.999633791039881'))
('YP_003977441', ('YP_003979613', '0.999962674839326'))
('YP_003981694', ('YP_003981695', '0.994679476847965'))
('YP_003977446', ('YP_003977600', '0.514821610832629'))
('YP_003977447', ('YP_003979946', '0.999987773870397'))
('YP_003977938', ('YP_003982585', '0.931203783577937'))
('YP_003977939', ('YP_003977940', '0.9946490744253'))
('YP_003976427', ('YP_003979300', '0.799274886018188'))
('YP_005622709', ('YP_005622708', '0.994672849810055'))
('YP_005622702', ('YP_005622704', '0.999291306758071'))
('YP_003977931', ('YP_003977930', '0.994640973588443'))
('YP_003981502', ('YP_003976513', '0.927960499692851'))
('YP_003976429', ('YP_003976428', '0.994568679609654'))
('YP_003977935', ('YP_003980805', '0.931203251522977'))
('YP_005622704', ('YP_005622705', '0.999910907400892'))
('YP_003981326', ('YP_003979475', '0.886232917627159'))
('YP_004954770', ('YP_004954568', '0.653886391072672'))
('YP_004955355', ('YP_004954807', '0.811154003902676'))
('YP_006797698', ('YP_006799239', '0.645469479403942'))
('YP_003979076', ('YP_003978617', '0.860151357430589'))
('YP_003979075', ('YP_003980891', '0.931243543726181'))
('YP_003981030', ('YP_003981534', '0.999409606388956'))
('YP_006799239', ('YP_006800160', '0.916294943443662'))
('YP_003978245', ('YP_003978246', '0.991580195868513'))
('YP_005623437', ('YP_005623436', '0.995608711617214'))
('YP_005623436', ('YP_005623434', '0.959343617001676'))
('YP_005623435', ('YP_005623434', '0.98604922954749'))
('YP_005623607', ('YP_005623310', '0.999546377528526'))
('YP_004955204', ('YP_004955205', '0.999999999999998'))
('YP_006798052', ('YP_006797803', '0.907379997147734'))
('YP_006798299', ('YP_006798298', '1'))
('YP_003982154', ('YP_003981694', '0.931209589315625'))
('YP_006798293', ('YP_006797742', '0.931428982694376'))
('YP_003979698', ('YP_003978589', '0.925429973435638'))
('YP_005623218', ('YP_005625302', '0.931399762238387'))
('YP_005623727', ('YP_005623726', '1'))
('YP_006798617', ('YP_006798625', '0.999625361382512'))
('YP_005623729', ('YP_005623730', '0.997088175876858'))
('YP_003980616', ('YP_003976670', '0.548654789503812'))
('YP_003980490', ('YP_003980280', '0.931203251058085'))
('YP_003980494', ('YP_003978918', '0.931241225637115'))
('YP_006798099', ('YP_006799809', '0.945243444942843'))
('YP_002728295', ('YP_002729047', '0.992879956266986'))
('YP_002728292', ('YP_002728293', '0.966836849029157'))
('YP_006798479', ('YP_006797409', '0.931203282606284'))
('YP_002728057', ('YP_002728606', '0.999998721086172'))
('YP_003980019', ('YP_003976513', '0.929077373350116'))
('YP_003980611', ('YP_003977403', '0.895353022689386'))
('YP_003979215', ('YP_003979470', '0.775642424337879'))
('YP_002728053', ('YP_002729487', '0.999999999036073'))
('YP_003979218', ('YP_003980922', '0.424352068705455'))
('YP_002728509', ('YP_002728403', '0.685429898669478'))
('YP_003978062', ('YP_003976794', '0.67526643366121'))
('YP_005623541', ('YP_005626193', '0.931323618831638'))
('YP_003978069', ('YP_003980345', '0.99561032054094'))
('YP_005622553', ('YP_005622112', '0.9312032547376'))
('YP_002729277', ('YP_002729279', '0.93120325105747'))
('YP_005624449', ('YP_005626136', '0.931256777511401'))
('YP_003979507', ('YP_003979283', '0.896093096497612'))
('YP_003979506', ('YP_003982585', '0.9312151234435'))
('YP_005624447', ('YP_005624448', '1'))
('YP_005624445', ('YP_005624447', '1'))
('YP_006800216', ('YP_006798759', '0.673925692665684'))
('YP_003980303', ('YP_003979094', '0.931505163726506'))
('YP_003980302', ('YP_003977641', '0.965071076454006'))
('YP_005624483', ('YP_005622563', '0.71004550492733'))
('YP_002728870', ('YP_002728869', '0.996794544654331'))
('YP_005624668', ('YP_005623515', '0.995898943761602'))
('YP_003980870', ('YP_003978904', '0.930795385235718'))
('YP_003980875', ('YP_003980876', '0.996767301037085'))
('YP_003977458', ('YP_003980303', '0.931505765422806'))
('YP_005625008', ('YP_005622057', '0.998406929180493'))
('YP_003982650', ('YP_003977311', '0.93148583386639'))
('YP_003982657', ('YP_003980855', '0.930786314398551'))
('YP_002728479', ('YP_002729071', '0.931203333755552'))
('YP_005393881', ('YP_005393924', '0.999823642567499'))
('YP_005624715', ('YP_005622925', '0.931509994358788'))
('YP_002729494', ('YP_002728445', '0.99980257964079'))
('YP_005624713', ('YP_005623527', '0.989780334239683'))
('YP_004955635', ('YP_004955694', '0.999829084479218'))
('YP_002729491', ('YP_002728474', '0.999999896194527'))
('YP_004955637', ('YP_004956419', '0.442096977548606'))
('YP_003977320', ('YP_003979094', '0.931589237562958'))
('YP_003977327', ('YP_003982235', '0.845848884073793'))
('YP_004956500', ('YP_004955851', '0.931203251057471'))
('YP_003976528', ('YP_003976599', '0.999999868012326'))
('YP_003976529', ('YP_003980888', '0.999979376296273'))
('YP_005394450', ('YP_005394763', '0.999999999468792'))
('YP_005394451', ('YP_005394461', '0.524920005378005'))
('YP_006799912', ('YP_006797335', '0.642532121436993'))
('YP_003982257', ('YP_003982258', '0.996885412755316'))
('YP_003982250', ('YP_003976698', '0.931203414789364'))
('YP_004955825', ('YP_004955701', '0.792026515686936'))
('YP_003982321', ('YP_003982320', '0.994653153408415'))
('YP_005624837', ('YP_005625303', '0.931203376631463'))
('YP_003977214', ('YP_003981323', '0.931381417988833'))
('YP_005623016', ('YP_005623017', '0.959741718638882'))
('YP_005395072', ('YP_005395071', '0.994657657308062'))
('YP_003976634', ('YP_003976698', '0.931203251057471'))
('YP_005625417', ('YP_005622195', '0.931571642114078'))
('YP_003976188', ('YP_003976189', '0.993865582449218'))
('YP_003976189', ('YP_003980939', '0.931203251224159'))
('YP_003976633', ('YP_003976513', '0.928505251534781'))
('YP_003976182', ('YP_003978172', '0.71261863725166'))
('YP_003976638', ('YP_003978725', '0.999999999991672'))
('YP_003976639', ('YP_003978568', '0.931587378122043'))
('YP_003976184', ('YP_003981991', '0.931545261844431'))
('YP_003981207', ('YP_003979000', '0.931203852358243'))
('YP_003977580', ('YP_003981454', '0.999592863324558'))
('YP_003976854', ('YP_003982170', '0.962986795584699'))
('YP_003976855', ('YP_003976854', '1'))
('YP_003976856', ('YP_003976855', '0.999998899274439'))
('YP_003976853', ('YP_003976854', '0.999999999999998'))
('YP_004955562', ('YP_004955561', '0.99999999999895'))
('YP_004955298', ('YP_004955297', '0.966672522624855'))
('YP_003978665', ('YP_003977598', '0.931203266753823'))
('YP_003978666', ('YP_003978667', '0.934365593029984'))
('YP_006800925', ('YP_006800045', '0.931242652003363'))
('YP_003977453', ('YP_003982585', '0.931203782385895'))
('YP_003981680', ('YP_003976513', '0.927137288008701'))
('YP_003978669', ('YP_003980941', '0.419855146829598'))
('YP_003981686', ('YP_003981635', '0.496350596179774'))
('YP_003977699', ('YP_003977698', '0.999998324708553'))
('YP_005622717', ('YP_005626304', '0.931297945518665'))
('YP_003976981', ('YP_003980644', '0.931498267412744'))
('YP_006797197', ('YP_006798164', '0.864073949756662'))
('YP_003976988', ('YP_003981742', '0.931308504975284'))
('YP_003977925', ('YP_003977924', '1'))
('YP_003982656', ('YP_003982655', '0.994675923412175'))
('YP_003981333', ('YP_003982585', '0.931381880451003'))
('YP_003981332', ('YP_003980265', '0.930906270458844'))
('YP_004954761', ('YP_004954885', '0.965268510598226'))
('YP_003982096', ('YP_003978495', '0.931203258472448'))
('YP_004955360', ('YP_004954545', '0.795309510179435'))
('YP_006800857', ('YP_006798236', '0.621919848539353'))
('YP_005395496', ('YP_005395497', '0.999498106264437'))
('YP_005395491', ('YP_005395492', '0.996254525549183'))
('YP_004956023', ('YP_004956024', '0.994254127150115'))
('YP_005395499', ('YP_005395500', '0.994686805073764'))
('YP_003979047', ('YP_003976673', '0.930722266940553'))
('YP_003979048', ('YP_003980837', '0.93120325105747'))
('YP_003979049', ('YP_003978918', '0.997124547407088'))
('YP_003978274', ('YP_003981559', '0.931482718304252'))
('YP_003978273', ('YP_003978272', '0.999999999999697'))
('YP_003981029', ('YP_003981065', '0.991154614495771'))
('YP_003981023', ('YP_003981022', '0.999999999988839'))
('YP_003981021', ('YP_003977311', '0.93149371774413'))
('YP_005623152', ('YP_005625303', '0.931392083152294'))
('YP_005623158', ('YP_005623157', '0.99999999999997'))
('YP_006797530', ('YP_006799966', '0.930574382720488'))
('YP_003981872', ('YP_003979094', '0.93158843603201'))
